Date,City,State,Victims,Notes
12/10/2019,OREM,UT,1,No details available
2/16/2019,HAMPTON,VA,2,No details available
4/6/2019,WOODBRIDGE,VA,1,No details available
5/30/2019,NORFOLK,VA,1,No details available
9/13/2019,CHESAPEAKE,VA,1,No details available
4/24/2019,SOUTH HILL,WA,1,No details available
12/15/2019,PASCO,WA,1,No details available
2/19/2019,BELOIT,WI,1,No details available
11/5/2019,MILWAUKEE,WI,1,No details available
12/27/2019,HAYWARD,WI,2,No details available
5/11/2018,ANCHORAGE,AK,2,No details available
3/1/2018,MOBILE,AL,1,No details available
3/30/2018,HUNTSVILLE,AL,1,No details available
4/27/2018,SARALAND,AL,1,No details available
10/11/2018,MONTGOMERY,AL,1,No details available
3/2/2018,FAYETTEVILLE,AR,1,No details available
12/5/2018,LITTLE ROCK,AR,1,No details available
1/13/2018,INLAND EMPIRE,CA,1,No details available
1/22/2018,SAN BERNARDINO,CA,1,No details available
4/3/2018,RIVERSIDE,CA,1,No details available
4/3/2018,VAN NUYS,CA,1,No details available
4/9/2018,SAN DIEGO,CA,1,No details available
6/14/2018,VALLEJO,CA,1,No details available
8/20/2018,SANTA ROSA,CA,1,No details available
10/20/2018,SAN JOSE,CA,1,No details available
10/30/2018,OAKDALE,CA,1,No details available
12/4/2018,ESCONDIDO,CA,1,No details available
5/4/2018,LOVELAND,CO,1,No details available
11/21/2018,COLORADO SPRINGS,CO,1,No details available
5/19/2018,NEW BRITAIN,CT,2,No details available
6/2/2018,HARTFORD,CT,1,No details available
7/26/2018,BRIDGEPORT,CT,2,No details available
11/24/2018,NEW HAVEN,CT,1,No details available
10/19/2018,WASHINGTON,DC,1,No details available
1/4/2018,WILMINGTON,DE,2,No details available
1/3/2018,DAYTONA BEACH,FL,2,No details available
1/25/2018,WINTER GARDEN,FL,1,No details available
2/19/2018,LEHIGH ACRES,FL,1,No details available
3/20/2018,W. PALM BEACH,FL,1,No details available
4/4/2018,FT. LAUDERDALE,FL,1,No details available
4/23/2018,ST. PETERSBURG,FL,1,No details available
5/17/2018,DAYTONA BEACH,FL,2,No details available
7/25/2018,PEMBROKE PARK,FL,1,No details available
11/25/2018,FT. LAUDERDALE,FL,1,No details available
1/17/2018,CLAYTON COUNTY,GA,2,No details available
4/24/2018,RIVERDALE,GA,1,No details available
5/12/2018,ATLANTA AREA,GA,1,No details available
11/18/2018,COWETA,GA,1,No details available
7/5/2018,KAILUA,HI,1,No details available
1/5/2018,SIOUX CITY,IA,1,No details available
5/28/2018,BOISE,ID,1,No details available
2/5/2018,ROCKFORD,IL,1,No details available
10/12/2018,RICHTON PARK,IL,2,No details available
11/28/2018,CHICAGO,IL,1,No details available
12/23/2018,CHICAGO,IL,1,No details available
12/30/2018,ROCKFORD,IL,2,No details available
4/7/2018,INDIANAPOLIS,IN,1,No details available
4/17/2018,SOUTH BEND,IN,1,No details available
4/30/2018,INDIANAPOLIS,IN,2,No details available
6/14/2018,INDIANAPOLIS,IN,2,No details available
7/23/2018,INDIANAPOLIS,IN,1,No details available
3/1/2018,WICHITA,KS,1,No details available
9/25/2018,DODGE CITY,KS,1,No details available
4/10/2018,OWENSBORO,KY,1,No details available
4/30/2018,LOUISVILLE,KY,2,No details available
5/14/2018,NEW ORLEANS,LA,1,No details available
6/27/2018,NEW ORLEANS,LA,1,No details available
5/15/2018,BOSTON,MA,1,No details available
12/14/2018,LYNN,MA,1,No details available
6/25/2018,BALTIMORE,MD,2,No details available
7/30/2018,BATTLE CREEK,MI,1,No details available
7/31/2018,DETROIT,MI,1,No details available
10/1/2018,CLINTON TOWNSHIP,MI,1,No details available
12/20/2018,DETROIT,MI,1,No details available
8/3/2018,ST. PAUL,MN,1,No details available
1/3/2018,ROGERSVILLE,MO,1,No details available
2/13/2018,SAINT LOUIS,MO,1,No details available
10/12/2018,ST. ANN,MO,3,No details available
12/28/2018,ST. ANN,MO,1,No details available
10/28/2018,HUNGRY HORSE,MT,1,No details available
1/7/2018,ICARD,NC,1,No details available
1/18/2018,CHARLOTTE,NC,1,No details available
1/25/2018,WINSTON-SALEM,NC,2,No details available
6/6/2018,CHARLOTTE,NC,2,No details available
8/20/2018,LUMBERTON,NC,1,No details available
9/19/2018,CHARLOTTE,NC,1,No details available
9/29/2018,DURHAM,NC,1,No details available
11/20/2018,THOMASVILLE,NC,3,No details available
12/13/2018,DURHAM,NC,1,No details available
7/27/2018,SANTA FE,NM,1,No details available
11/4/2018,LAS CRUCES,NM,1,No details available
2/21/2018,QUEENS,NY,1,No details available
8/14/2018,BUFFALO,NY,1,No details available
9/4/2018,MANHASSET,NY,3,No details available
11/11/2018,SYRACUSE,NY,1,No details available
11/18/2018,BROOKLYN,NY,1,No details available
12/1/2018,BUFFALO,NY,1,No details available
12/7/2018,BROOKLYN,NY,3,No details available
1/2/2018,CINCINATTI,OH,1,No details available
2/7/2018,CLEVELAND,OH,1,No details available
3/3/2018,CINCINNATTI,OH,3,No details available
4/19/2018,ST. MARY'S,OH,1,No details available
10/20/2018,CLEVELAND,OH,1,No details available
11/15/2018,TALLMADGE,OH,1,No details available
12/5/2018,TROY,OH,1,No details available
1/11/2018,OKLAHOMA CITY,OK,1,No details available
6/12/2018,OKLAHOMA CITY,OK,2,No details available
9/11/2018,TULSA,OK,1,No details available
9/19/2018,TULSA,OK,1,No details available
7/9/2018,OKLAHOMA CITY,OK,2,No details available
5/23/2018,PHILADELPHIA,PA,2,No details available
8/7/2018,PHILADELPHIA,PA,1,No details available
12/4/2018,HEMPFIELD,PA,1,No details available
1/1/2018,PROVIDENCE,RI,1,No details available
5/9/2018,PROVIDENCE,RI,2,No details available
12/31/2018,PROVIDENCE,RI,1,No details available
1/8/2018,MEMPHIS,TN,1,No details available
2/10/2018,ORANGE MOUND,TN,1,No details available
2/26/2018,CLEVELAND,TN,1,No details available
3/16/2018,MEMPHIS,TN,1,No details available
4/14/2018,NASHVILLE,TN,3,No details available
4/15/2018,NASHVILLE,TN,1,No details available
6/19/2018,CHATTANOOGA,TN,1,No details available
8/8/2018,MEMPHIS,TN,1,No details available
10/28/2018,NASHVILLE,TN,1,No details available
11/16/2018,KNOXVILLE,TN,1,No details available
12/3/2018,SMYRNA,TN,1,No details available
12/14/2018,HERMITAGE,TN,2,No details available
12/28/2018,KNOXVILLE,TN,1,No details available
1/1/2018,HOUSTON,TX,1,No details available
1/2/2018,HOUSTON,TX,1,No details available
1/12/2018,DALLAS,TX,2,No details available
1/19/2018,FLOUR BLUFF,TX,1,No details available
1/22/2018,HOUSTON,TX,3,No details available
1/27/2018,CARROLLTON,TX,1,No details available
2/8/2018,NEDERLAND,TX,1,No details available
5/7/2018,SAN ANTONIO,TX,1,No details available
6/4/2018,SAN ANTONIO,TX,1,No details available
6/4/2018,AUSTIN,TX,1,No details available
7/4/2018,DALLAS,TX,2,No details available
8/9/2018,AUSTIN,TX,1,No details available
8/29/2018,CORPUS CHRISTI,TX,1,No details available
8/30/2018,FORT WORTH,TX,1,No details available
10/8/2018,SAN ANTONIO,TX,2,No details available
4/23/2018,SALT LAKE CITY,UT,1,No details available
7/22/2018,MIDVALE,UT,2,No details available
2/14/2018,BATTLE GROUND,WA,1,No details available
3/7/2018,BREMERTON,WA,1,No details available
8/29/2018,SPOKANE,WA,1,No details available
11/6/2018,EVERETT,WA,1,No details available
1/11/2018,MILWAUKEE,WI,1,No details available
4/1/2018,MILWAUKEE,WI,1,No details available
11/22/2018,GREENVILLE,WI,1,No details available
12/6/2018,MADISON,WI,2,No details available
4/26/2018,RIPLEY,WV,1,No details available
